title,author,status,hours,page
Nicomachean Ethics,Aristotle,Pause,0.77,
The Philosophy of Kant,Immanuel Kant,Pause,1.48,33
Economic Philosophy,Joan Robinson,Idle,0,
The Theory of Incentives,Laffont & Martimort,Idle,0,
The Handbook of Experimental Economics,Kagel & Roth,Idle,0,
A Life of Experimental Economics - Volume II - The Next Fifty Years,Vernon L. Smith,Pause,0.62,22
The Universal Book of Mathematics,David Darling,Idle,0,
The Data Detective,Tim Harford,Pause,4.93,90
The Pattern Seekers,Simon Baron-Cohen,Idle,0,
Hidden Potential,Adam Grant,In Progress,1.25,72
Animal Welfare,,Pause,1.28,
The Humane Economy,Wayne Pacelle,Pause,3.7,108
Animal Farm,George Orwell,Complete,1.6,
The Murder of Roger Ackroyd,Agatha Christie,In Progress,4.22,
Fifteen Dogs,André Alexis,Idle,0,
On Earth We're Briefly Gorgeous,Ocean Vuong,Idle,0,
The Hen Who Dreamed She Could Fly,Sun-mi Hwang,Idle,0,
Good Economics for Hard Times,Abhijit Banerjee & Esther Duflo,In Progress,0,
Mathematics and Its History,John Stillwell,Pause,0.25,
Nonlinear Dynamics and Chaos,Steven H. Strogatz,Pause,0.1,
Critical Transitions in Nature and Society,Marten Scheffer,Pause,0.1,
