Cloud,Grassland,Agriculture (undifferentiated),Pasture and Forages,Too Wet to be Seeded,Fallow,Cereals,Barley,Other Grains,Millet,Oats,Rye,Spelt,Triticale,Wheat,Switchgrass,Sorghum,Quinoa,Winter Wheat,Spring Wheat,Corn,Tobacco,Ginseng,Oilseeds,Borage,Camelina,Canola and Rapeseed,Flaxseed,Mustard,Safflower,Sunflower,Soybeans,Pulses,Other Pulses,Peas,Chickpeas,Beans,Fababeans,Lentils,Vegetables,Tomatoes,Potatoes,Sugarbeets,Other Vegetables,Fruits,Berries,Blueberry,Cranberry,Other Berry,Orchards,Other Fruits,Vineyards,Hops,Sod,Herbs,Nursery,Buckwheat,Canaryseed,Hemp,Vetch,Other Crops,Water,Forest (undifferentiated),Coniferous,Broadleaf,Mixedwood,Exposed Land and Barren,Urban and Developed,Greenhouses,Shrubland,Wetland,Peatland,district
,1122593.0,3.6560443E7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.2050368E7,,1.203950865E9,1.30584577E8,2722.0,3.7232525E7,1.29596567E8,,1.41593523E8,2.6346272E7,,Comox Valley
,2.75564925E8,1687818.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.13286892E8,,1.1561848678E10,6.0219508E8,486937.0,3.513861574E9,6.4602242E7,,7.71122924E8,1.32909109E8,,Strathcona
,2417578.0,6871637.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.8748949E8,,5.604564359E9,1.73347917E8,2175875.0,2.391875E8,6.03882E7,,4.8077159E8,3.2935237E7,,Alberni-Clayoquot
,7.24402469E8,5.85199015E8,3.17662931E8,,,,,,,373809.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2390388.0,,,,,,,,,,,,,,,,,,,,,,4.888282939E9,,5.197643654E10,2.731909965E9,4.786369811E9,4.388294689E9,1.58942198E8,,3.700059602E9,2.096012736E9,,Bulkley-Nechako
,39248.0,2.9373415E7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.5348763E7,,1.790791466E9,9.5778952E7,131816.0,1.2479514E7,3.03936789E8,,9.1036879E7,1.2447199E7,,Capital
,2.988321281E9,7.222205E7,3.87220327E8,,,,719938.0,,,,,,,,,,,,,,,,,,,,,,,,,37855.0,,,,,,,124613.0,,,,,,,,,,,,,,,,,,,,,,2.284436663E9,,5.6853918163E10,1.209729816E9,6.91854507E8,1.0644630611E10,3.99247923E8,,4.228828601E9,3.188845624E9,,Cariboo
,8.29763388E8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.9116089E7,,2.953312699E9,4.50844118E8,5.46788292E8,2.558161788E9,3239820.0,,5.72071428E8,3.01431788E8,,Central Coast
,2.6702031E8,1.29736064E8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47956.0,,23442.0,,,,,,,,,,1.000782688E9,,1.6856855154E10,6.54055956E8,1.05528303E8,2.341286263E9,2.74587793E8,,1.412274012E9,8.7322514E7,,Central Kootenay
,7.4524503E7,6816860.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.9692797E7,,4918301.0,,,,,,,,,,2.358146E8,,2.123104965E9,9.2240214E7,1.24066739E8,4.2625741E7,2.35662776E8,67917.0,1.6321778E8,1.5280572E7,,Central Okanagan
,1.346244049E9,6.1252594E7,2155407.0,,,,177894.0,,,31439.0,,,,,,,,,888618.0,12638.0,,,,,,146797.0,,,,,,,,11834.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.021833077E9,,1.4716944271E10,1.959780735E9,1.949012568E9,7.149917718E9,2.18115463E8,39637.0,1.360541924E9,2.48721255E8,,Columbia-Shuswap
,42517.0,4.4950097E7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.4775769E7,,2.824356509E9,2.0510859E8,154832.0,8298107.0,1.63288233E8,,2.18253019E8,1.8334118E7,,Cowichan Valley
,7.14790937E8,,1.7883411E7,,361997.0,,4625723.0,,,48435.0,3749749.0,,,,,,,1534046.0,1817515.0,,,,,,,7832880.0,1816.0,1936.0,,,,,,494543.0,,661426.0,43135.0,9035.0,,,39615.0,,,,,,,,,,,,,,,,,124789.0,,,2.39898113E8,,1.9161523217E10,1.67172331E8,2.36408793E8,4.406578954E9,1.90224722E8,,2.531740478E9,1.69355604E8,,East Kootenay
,1.757091151E9,5.1618991E7,2.76060392E8,,,,192887.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,126005.0,,,,,,,,,,,,,,,,,,,,,,1.28984957E9,,3.3269751726E10,2.879612437E9,9.74552709E8,4.81174012E9,2.80786931E8,,5.040441497E9,1.45105857E9,,Fraser-Fort George
,4.3897223E7,74758.0,9.4588193E7,,336646.0,,26939.0,,,,,,,,,,,,,1.08784948E8,,,,,,,,,,,,,,,,75440.0,,,,,1785384.0,,2763423.0,,,2.824405E7,1016439.0,5896725.0,469034.0,19210.0,660230.0,57578.0,2444717.0,,1154310.0,,,,,622510.0,5.11999136E8,,9.343792547E9,7.87095703E8,6.19116608E8,1.136481346E9,4.62454135E8,2397254.0,7.0364617E8,3.9105385E7,,Fraser Valley
,8261938.0,,6.0938557E7,,437789.0,,155018.0,,,,,,,,,,,,,3.1378021E7,,,,,,,,,,,,,,,,19331.0,,,,,2982258.0,,1835470.0,,,3.5035541E7,2.4558487E7,3396539.0,134569.0,382522.0,1074422.0,33816.0,1713932.0,,2298709.0,,,,,330926.0,1.36908947E8,,1.376904033E9,8.5032208E7,9101438.0,4.5558424E7,1.125231897E9,4827190.0,4.4237954E7,6.1306787E7,,Greater Vancouver
,1.88303545E9,,4.2623878E7,,,,,,,114103.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,331218.0,,,,,,,,,,,,,,,,,,,,,,7.63730619E8,,2.5152576265E10,2.694280297E9,3.963271505E9,1.4089268769E10,1.10271619E8,,4.588402199E9,6.47046142E8,,Kitimat-Stikine
,1.08539279E8,4.4283128E7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.99997E7,,6.955346592E9,7.6101384E7,7.5723218E7,1.05566883E8,1.24430055E8,4333.0,5.66104785E8,1.8770441E7,,Kootenay Boundary
,4.56893978E8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.35739279E8,,7.897563946E9,1.93365834E8,246280.0,3.757490933E9,2616782.0,,3.07633583E8,8.8809904E7,,Mount Waddington
,528024.0,1.4826037E7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.9749935E7,,1.560638989E9,9.7916048E7,26830.0,8852601.0,2.16527043E8,,1.28420386E8,1.6046058E7,,Nanaimo
,1.14929088E8,1.6910825E8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6040276.0,,556438.0,,,,,,,,,,1.99088291E8,,5.427071984E9,5.11189681E8,6.44989316E8,1.861037E8,1.59798945E8,100201.0,2.44158253E8,4.5900674E7,,North Okanagan
,1694459.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.89708628E8,,3.698664858E9,2.098764085E9,4.22691098E8,1.8496525E7,1674920.0,,2.94645397E8,5.940953039E9,,Northern Rockies
,5.66935868E8,2.735721E7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.1781959E7,,3.0991332E7,,,,,,,,,,1.70676101E8,,8.182337339E9,1.67358366E8,1.4193682E8,4.23468374E8,1.81769567E8,189338.0,6.0678754E8,4.7076314E7,,Okanagan-Similkameen
,1.828424905E9,3.32085942E8,1.835661591E9,1095643.0,6.001789E7,,5.6580471E8,,,5.448599E7,3895891.0,,1924080.0,,,,,5617628.0,2.14820013E8,,,,,,,7.34226212E8,,,,,,,,1.50721656E8,,1.0566683E7,263052.0,77314.0,,,,,,,,,,,,,,,,,,,,,,,1.431603798E9,,4.1928990073E10,1.2103942355E10,3.767048333E9,2.772353297E9,2.7385819E8,,5.142405231E9,1.0936866688E10,,Peace River
,8.1171814E7,244603.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.28357091E8,,2.906447855E9,2.00639511E8,74157.0,1.328323034E9,4.6392491E7,,4.90501265E8,3.5857417E7,,Powell River
,1.61803793E8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.95759976E8,,2.428211478E9,1.26686505E8,2.71177353E8,1.082432746E9,1634519.0,,4.3365109E8,1.24806046E8,,Skeena-Queen Charlotte
,4.3670775E8,4.1296049E7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,125261.0,,,,,,,,,,2.57547951E8,,9.006205401E9,3.29952253E8,4.6514499E7,4.609254913E9,1.0527858E8,,1.677638392E9,1.2680012E8,,Squamish-Lillooet
,8.64830555E8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.37455446E8,,7.07275216E9,1.16206733E8,4.65804879E8,2.105935527E9,,,5.3611341E8,1.75575722E8,,Stikine
,2.0804409E7,,88611.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11584.0,,,,,,,,,,,,,,,6.5339793E7,,2.698757364E9,1.63799688E8,99543.0,4.83727097E8,6.9873781E7,,3.2035181E8,1.3847725E7,,Sunshine Coast
,3.787132016E9,1.99293899E8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,397713.0,,26558.0,,,,,,,,,,1.023016112E9,,2.9556041869E10,1.598520378E9,1.633232679E9,3.969010647E9,3.30543044E8,7364.0,2.599523365E9,8.18472409E8,,Thompson-Nicola
