Tree cover,Moss and lichen,Shrubland,Grassland,Cropland,Built-up,Bare / sparse vegetation,Snow and ice,Permanent water bodies,Herbaceous wetland,Mangroves,district
1356.0,13.0,0.0,295.0,5.0,16.0,11.0,1.0,41.0,0.0,,Comox Valley
13315.0,441.0,1.0,1363.0,1.0,12.0,1155.0,1918.0,444.0,0.0,,Strathcona
6043.0,45.0,0.0,389.0,1.0,11.0,60.0,12.0,330.0,0.0,,Alberni-Clayoquot
60987.0,2126.0,6.0,8054.0,129.0,38.0,1528.0,526.0,4806.0,4.0,,Bulkley-Nechako
2085.0,0.0,0.0,170.0,3.0,56.0,4.0,,52.0,0.0,,Capital
60946.0,2317.0,13.0,12549.0,86.0,47.0,3250.0,1355.0,2376.0,11.0,,Cariboo
16096.0,1625.0,5.0,2059.0,0.0,1.0,2341.0,2260.0,717.0,1.0,,Central Coast
17107.0,635.0,9.0,2303.0,73.0,29.0,1590.0,356.0,1024.0,2.0,,Central Kootenay
2276.0,3.0,0.0,525.0,10.0,77.0,18.0,,239.0,0.0,,Central Okanagan
17800.0,1467.0,27.0,3332.0,46.0,40.0,4100.0,2124.0,1099.0,2.0,,Columbia-Shuswap
3112.0,0.0,0.0,332.0,5.0,20.0,3.0,,106.0,0.0,,Cowichan Valley
19996.0,1134.0,4.0,2931.0,39.0,47.0,3200.0,218.0,283.0,5.0,,East Kootenay
38966.0,1643.0,36.0,6150.0,22.0,56.0,2504.0,1356.0,1343.0,7.0,,Fraser-Fort George
10165.0,338.0,2.0,1557.0,123.0,91.0,746.0,328.0,549.0,0.0,,Fraser Valley
1869.0,13.0,0.0,504.0,58.0,406.0,37.0,1.0,164.0,13.0,,Greater Vancouver
60280.0,9177.0,41.0,13135.0,2.0,20.0,9616.0,12000.0,2004.0,19.0,,Kitimat-Stikine
6870.0,25.0,0.0,1102.0,23.0,22.0,24.0,0.0,58.0,0.0,,Kootenay Boundary
14262.0,650.0,1.0,1616.0,0.0,4.0,1450.0,2148.0,502.0,0.0,,Mount Waddington
1694.0,1.0,0.0,290.0,3.0,42.0,4.0,,39.0,0.0,,Nanaimo
6096.0,85.0,1.0,1036.0,125.0,40.0,100.0,16.0,210.0,1.0,,North Okanagan
70172.0,1830.0,3365.0,6102.0,1.0,12.0,3372.0,218.0,1174.0,160.0,,Northern Rockies
7900.0,111.0,1.0,2223.0,28.0,50.0,90.0,0.0,175.0,0.0,,Okanagan-Similkameen
86902.0,5133.0,1415.0,15627.0,1765.0,63.0,6083.0,565.0,2313.0,5.0,,Peace River
3142.0,235.0,0.0,509.0,0.0,5.0,507.0,660.0,260.0,0.0,,Powell River
16776.0,510.0,0.0,1946.0,0.0,6.0,229.0,97.0,744.0,5.0,,Skeena-Queen Charlotte
9488.0,926.0,2.0,1522.0,10.0,17.0,2650.0,1706.0,317.0,0.0,,Squamish-Lillooet
63949.0,12598.0,35.0,20344.0,0.0,3.0,11409.0,10063.0,3216.0,64.0,,Stikine
2912.0,142.0,0.0,369.0,0.0,6.0,205.0,118.0,85.0,0.0,,Sunshine Coast
32389.0,721.0,17.0,8941.0,152.0,104.0,1399.0,680.0,1107.0,4.0,,Thompson-Nicola
